dt_start,dt_end,event_type
2005-07-26 11:00:00,2005-07-26 14:00:00,event
2005-07-29 08:00:00,2005-07-29 11:00:00,event
2005-08-02 15:30:00,2005-08-02 16:30:00,event
2005-08-04 16:30:00,2005-08-04 17:30:00,event
2005-08-05 08:00:00,2005-08-05 11:00:00,event
2005-08-09 11:00:00,2005-08-09 14:00:00,event
2005-08-09 08:00:00,2005-08-09 16:00:00,event
2005-08-10 08:00:00,2005-08-10 16:00:00,event
2005-08-12 08:00:00,2005-08-12 11:00:00,event
2005-08-16 11:00:00,2005-08-16 14:00:00,event
2005-08-18 08:00:00,2005-08-18 17:00:00,event
2005-08-18 18:00:00,2005-08-18 20:30:00,event
2005-08-19 08:00:00,2005-08-19 11:00:00,event
2005-08-23 11:00:00,2005-08-23 14:00:00,event
2005-08-26 08:00:00,2005-08-26 11:00:00,event
2005-08-30 16:00:00,2005-08-30 18:00:00,event
2005-09-01 14:00:00,2005-09-01 16:30:00,event
2005-09-15 08:30:00,2005-09-15 10:00:00,event
2005-09-21 09:00:00,2005-09-21 14:00:00,event
2005-09-22 14:00:00,2005-09-22 14:30:00,event
2005-10-03 15:30:00,2005-10-03 17:00:00,event
2005-10-04 12:00:00,2005-10-04 15:00:00,event
